matiere,annee,centre,theme,points,code,source_url
SVT,2023,Centres étrangers,Le phénomène El Niño et ses conséquences sur la pêche au Pérou,25,23GENSCG11,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCG11_Le_phenomene_El_Nino_et_ses_consequences_sur.pdf
SVT,2023,Métropole,"Le role de l'idotee, l'abeille des mers, dans la reproduction de l'algue rouge",25,23GENSCMEAG1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCMEAG1_Le_role_de_l_idotee_l_abeille_des_mers_dans_l.pdf
SVT,2023,Métropole (septembre),"La phénylcétonurie, une maladie génétique",25,23GENSCMEAG3,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCMEAG3_La_phenylcetonurie_une_maladie_genetique.pdf
SVT,2023,Nouvelle-Calédonie,Surpêche et comportement responsable,25,23GENSCNC1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCNC1_Surpeche_et_comportement_responsable.pdf
SVT,2023,Polynésie,Une culture de micro-organisme pour l'alimentation humaine : la spiruline,25,23GENSCPO1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCPO1_Une_culture_de_micro_organisme_pour_l_aliment.pdf
SVT,2023,Polynésie (septembre),Le risque cyclonique et le dérèglement climatique,23,23GENSCPO3,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/23GENSCPO3_Le_risque_cyclonique_et_le_dereglement_climat.pdf
SVT,2022,Amérique du Nord,Préparer une population face à un risque de tsunami,25,22GENSCAN1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCAN1_Preparer_une_population_face_a_un_risque_de_t.pdf
SVT,2022,Amérique du Sud,L'évolution des populations de pins en France,25,22GENSCAS1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCAS1_L_evolution_des_populations_de_pins_en_France.pdf
SVT,2022,Asie,La coccinelle asiatique,25,22GENSCAA1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCAA1_La_coccinelle_asiatique.pdf
SVT,2022,Centres étrangers,Le gobemouche noir et le changement climatique,25,22GENSCG11,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCG11_Le_gobemouche_noir_et_le_changement_climatiqu.pdf
SVT,2022,Métropole,"Les récifs coralliens : symbiose, blanchissement et services écosystémiques",25,22GENSCMEAG2,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCMEAG2_Les_recifs_coralliens_symbiose_blanchissement.pdf
SVT,2022,Métropole,Tortues marines : détermination du sexe par la température et conséquences du réchauffement climatique,25,22GENSCMEAG1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCMEAG1_Tortues_marines_determination_du_sexe_par_la.pdf
SVT,2022,Métropole (septembre),Les moyens de prévention des IST,25,22GENSCMEAG3,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCMEAG3_Les_moyens_de_prevention_des_IST.pdf
SVT,2022,Nouvelle-Calédonie,Les récifs coralliens et leur blanchissement,25,22GENSCNC1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCNC1_Les_recifs_coralliens_et_leur_blanchissement.pdf
SVT,2022,Polynésie,Le fonctionnement hormonal : rôle des testicules et de la testostérone,25,22GENSCPO1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCPO1_Le_fonctionnement_hormonal_role_des_testicule.pdf
SVT,2022,Polynésie (septembre),Des insectes destructeurs de forêts (les scolytes),25,22GENSCPO3,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/22GENSCPO3_Des_insectes_destructeurs_de_forets_les_scoly.pdf
SVT,2021,Amérique du Nord,Fertilité féminine et Procréation Médicalement Assistée (PMA),25,21GENSCAN1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/21GENSCAN1_Fertilite_feminine_et_Procreation_Medicalemen.pdf
SVT,2021,Asie,Trop de sel dans le sol sénégalais,25,21GENSCAA1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/21GENSCAA1_Trop_de_sel_dans_le_sol_senegalais.pdf
SVT,2021,Métropole,"Pigments, photosynthèse et production d'amidon chez les plantes à feuilles rouges et panachées",25,21GENSCMEAG1,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/21GENSCMEAG1_Pigments_photosynthese_et_production_d_amidon.pdf
SVT,2021,Métropole (septembre),Un tremblement de Terre en Méditerranée (séisme du 7 juillet 2011),25,21GENSCMEAG3,https://djodkjysovalpufgevrr.supabase.co/storage/v1/object/public/brevets/21GENSCMEAG3_Un_tremblement_de_Terre_en_Mediterranee_seism.pdf
Maths,2025,Amérique du Nord,Mathématiques · juin,100,25MATAN1,https://www.apmep.fr/IMG/pdf/Brevet_Am_du_Nord_4_06_2025_DV_JCS_PS.pdf
Maths,2025,Amérique du Sud,Mathématiques · novembre,100,25MATASN,https://www.apmep.fr/IMG/pdf/Brevet_Ameri_du_Sud_27_11_2025_MCB4.pdf
